customer_code,customer_name,city,address1,postal,bp_salesperson,category
1008748,Karma Automotive,Irvine,9950 Jeronimo Rd,92618,Alison Williams,BP rep is INACTIVE
1003146,Keysight Technologies,Santa Rosa,1400 Fountaingrove Parkway,95403-1738,Tim Premo,BP rep is INACTIVE
1007430,Kinetic Technologies,San Jose,"6399 San Ignacio Ave, Suite 250",95119,Romey Kelso,BP rep is INACTIVE
1003455,KollMorgen,Goleta,33 S La Patera Ln,93117,Danielle Slaughter,BP rep is INACTIVE
1002345,L3Harris Corp.,Anaheim,901 E. Ball Rd,92805,Shannon Contreras,BP rep is INACTIVE
1002345,L3Harris Corp.,San Diego,9020 Balboa Ave,92123,Shannon Contreras,BP rep is INACTIVE
1002734,Lam Research,Fremont,4650 Crushing Parkway,94538,Bac Nguyen,BP rep is INACTIVE
1002734,Lam Research,Fremont,4405 Cushing Pkwy - CA10,94538,Bac Nguyen,BP rep is INACTIVE
1002734,Lam Research,Livermore,1 Portola Avenue,94551,Bac Nguyen,BP rep is INACTIVE
1006718,"Laritech, Inc",Moorpark,5898 Condor Dr,93021,Colton Hammond,BP rep is INACTIVE
1005083,LeeMAH Electronics,Brisbane,155 South Hill Drive,94005,Colton Hammond,BP rep is INACTIVE
1002357,Liebherr,Lodi,880 South Beckman Road,95240,Chad Swygert,BP rep is INACTIVE
1006927,Lion Electric,Sacremento,"4522 Parker Avenue, McClellan Park,  Suite 350",95652,Romey Kelso,BP rep is INACTIVE
1001189,Lockheed Martin,Palmdale,,93599,Chad Swygert,BP rep is INACTIVE
1001189,Lockheed Martin,Sunnyvale,,94089,Chad Swygert,BP rep is INACTIVE
1006969,"Luminar Technologies, Inc",Palo Alto,1891 Page Mill Rd,"94304,",Karina Ruvalcaba,BP rep is INACTIVE
1007630,Lytx (DRIVE CAM),San Diego,9785 Towne Centre Dr,92121,Romey Kelso,BP rep is INACTIVE
1002889,"MEDTRONIC, INC.",Irvine,9775 Toledo Way,92618,Danielle Slaughter,BP rep is INACTIVE
1002889,"MEDTRONIC, INC.",Northridge,18000 Devonshire Street,91325,Danielle Slaughter,BP rep is INACTIVE
1002889,"MEDTRONIC, INC.",San Diego,8830 Siempre Viva Rd,92154,Danielle Slaughter,BP rep is INACTIVE
1002889,"MEDTRONIC, INC.",Santa Rosa,3576 Unocal Place,95403,Danielle Slaughter,BP rep is INACTIVE
1002816,"MKS Instruments, Inc.",Irvine,1791 Deere Avenue,92606,Danielle Slaughter,BP rep is INACTIVE
