Chuboe_Offer_ID[Value],Chuboe_MPN,Chuboe_MFR_ID[Value],Chuboe_MFR_Text,Qty,Chuboe_Lead_Time,Chuboe_Package_Desc,C_Country_ID[Name],Chuboe_Date_Code,C_Currency_ID[ISO_Code],Description,IsActive,Chuboe_MPN_Clean,Chuboe_CPC,PriceEntered,Chuboe_MOQ,Chuboe_SPQ
,3590S-291-502L,,Bourns Inc,2239.000,,US2205100000018;ATX21L,,1925,,POT 5K OHM 2W WIREWOUND LINEAR,,,,,,
,3590S-291-502L,,Bourns Inc,60.000,,US2205200000028;ATX23L,,1844M,,POT 5K OHM 2W WIREWOUND LINEAR,,,,,,
,3-60874-2,,Texas Instruments,790.000,,US2202090000038;G06D04,,"2011, 2003",,CONN PC PIN CIRC 0.058DIA GOLD,,,,,,
,380LQ681M350A032,,Cornell Dubilier,242.000,,US2202230005-02;ATX32L,,"2020, 2014",,CAP ALUM 680UF 20% 350V SNAP,,,,,,
,380LQ681M350A032,,Cornell Dubilier,4540.000,,US2202230005-01;ATX32R,,"2020, 2014",,CAP ALUM 680UF 20% 350V SNAP,,,,,,
,380LQ681M350A032,,Cornell Dubilier,560.000,,US2202230000013;ATX32L,,"2020, 2024",,CAP ALUM 680UF 20% 350V SNAP,,,,,,
,380LQ681M350A032,,Cornell Dubilier,80.000,,US2112160000023;ATX32L,,2006,,CAP ALUM 680UF 20% 350V SNAP,,,,,,
,380LQ681M350A032,,Cornell Dubilier,3400.000,,US2202170000018;ATX32L,,2020,,CAP ALUM 680UF 20% 350V SNAP,,,,,,
,380LQ681M350A032,,Cornell Dubilier,240.000,,US2202230000009;ATX32L,,2006,,CAP ALUM 680UF 20% 350V SNAP,,,,,,
,3-822516-7,,Texas Instruments,141.000,,US2204250000023;G07C03,,n/a,,CONN SOCKET PLCC 32POS TIN,,,,,,
,39-30-2041,,Molex LLC,2630.000,,US2203160000019;BULK3,,1914,,CONN HEADER VERT 4POS 4.2MM,,,,,,
,410-43-210-41-105000,,Mill-Max MFG Corp,2500.000,,US2203160000028;A01E01,,1843,,"CONN SOCKET 0.1"" SMD 10PIN",,,,,,
,410-83-210-41-105101,,Mill-Max MFG Corp,6021.000,,US2203310000029;A01F01,,"1840, 1984",,CONN SOCKET 10POS 0.1 GOLD SMD,,,,,,
,410-83-210-41-105191,,Mill-Max MFG Corp,6640.000,,US2203030000022;G06F04,,N/A,,CONN SOCKET 10POS 0.1 GOLD SMD,,,,,,
,43045-1013,,Molex LLC,1224.000,,US2210180000055;ATX23L,,,,CONN HEADER VERT 10POS 3MM,,,,,,
,4304H5,,Visual Communications Company LLC,2000.000,,US2210200000004;G07D04,,,,LED GREEN DIFFUSED T-1 3/4 T/H,,,,,,
,43J100E,,Ohmite,145.000,,US2205200000033;G04B01,,1827,,RES 100 OHM 5% 3W AXIAL,,,,,,
,476CKR050M,,Cornell Dubilier,8000.000,,US2205240000014;G06A03,,1925,,CAP ALUM 47UF 20% 50V RADIAL,,,,,,
,476CKR050M,,Cornell Dubilier,1000.000,,US2209220000025;G06A03,,,,CAP ALUM 47UF 20% 50V RADIAL,,,,,,
,4814P-2-103LF,,Bourns Inc,2000.000,,US2204200000047;G05B03,,1805/1806,,RES ARRAY 13 RES 10K OHM 14SOIC,,,,,,
,4N35SR2M,,On Semiconductor,1000.000,,US2112160000036;G05E04,,2011,,OPTOISO 4.17KV TRANS W/BASE 6SMD,,,,,,
,4N35SR2M,,On Semiconductor,1000.000,,US2205020000010;G05E04,,1901,,OPTOISO 4.17KV TRANS W/BASE 6SMD,,,,,,
,4N35TVM,,On Semiconductor,3000.000,,US2112170000030;A02F01,,1949,,OPTOISO 4.17KV TRANS W/BASE 6DIP,,,,,,
,4N35TVM,,On Semiconductor,2327.000,,US2205020000005;A02F01,,"849, 917, 921/843, 1828, 1935",,OPTOISO 4.17KV TRANS W/BASE 6DIP,,,,,,
,5004,,Keystone,97850.000,,US2203100000026;G06E03,,N/A,,Conn Test Point SKT 1 POS Solder ST Thru,,,,,,
