Item,ItemDescription,Name,Lot Quantity,Date Code,Lot Unit Cost,Currency,Warehouse Name,Location
11HM1,Switch Snap Action N.O./N.C. SPDT Roller,Honeywell International,20,,240,USD,Astute Electronics Inc.,Q2
12-050-154-00R,12-050-154-00R Rev. A,Not Known Yet,1398,,,,Astute Electronics TAX Excess/Consignment,G07A03
12061A330JAT2A,CAP CER 33PF 100V C0G/NP0 1206,AVX Corporation,6817,"1901, 1907",,,Astute Electronics TAX Excess/Consignment,G01B01
12061A331JAT1A,Ceramic Capacitors,KYOCERA AVX,3293,,,,Astute Electronics GEA Excess/Consignment,F02E03
12061A331JATMA,Ceramic Capacitors,KYOCERA AVX,1580,,,,Astute Electronics GEA Excess/Consignment,F02E03
12061A472JAT2A,CAP CER 4700PF 100V C0G/NP0 1206,AVX Corporation,500,2018,,,Astute Electronics TAX Excess/Consignment,G06A01
12062A681JAT2A,Ceramic Capacitors,KYOCERA AVX,4950,,,,Astute Electronics GEA Excess/Consignment,F02E02
12063C105JAT2A,CAP CER 1UF 25V X7R 1206,AVX Corporation,37300,"2014, 1932, 1952, 1946, 1929",,,Astute Electronics TAX Excess/Consignment,G06A01
12065C104KAT4A,CAP CER 0.1UF 50V X7R 1206,Kyocera Connector Products Corp,60000,,,,Astute Electronics Inc. ATX Excess,G02C02
12065C152KAT2A,CAP CER 1500PF 50V X7R 1206,AVX Corporation,8216,"1838, 1932, 1702",,,Astute Electronics TAX Excess/Consignment,G01B01
12065C473KAT2A,"CAP,1206,.047UF,10%,50V,X7R,ROHS",KYOCERA AVX,4000,2212,,GBP,Astute Electronics Inc. LAM STL,LAM7.11.9
12065C681KAT2A,CAP CER 680PF 50V X7R 1206,AVX Corporation,3943,1916,,,Astute Electronics TAX Excess/Consignment,G01B01
1206GA330JAT1A,CAP CER 33PF 2KV C0G/NP0 1206,AVX Corporation,4040,"1902, 1911",,,Astute Electronics TAX Excess/Consignment,G07C03
1206L050/15YR,FUS PTC RST 15V 0.5A 1206 SMD,Littelfuse Inc,52000,2533,0.03,USD,Astute Electronics Inc,HK-F01
1206YC105KAT2A,Cap 1uF 10% 16V Cer 1206,Kyocera Connector Products Corp,1697,,,,Astute Electronics GEA Excess/Consignment,F01E03
1206YC105KAT2A,Cap 1uF 10% 16V Cer 1206,Kyocera Connector Products Corp,30,1727,,,Astute Electronics TAX Excess/Consignment,G07E04
1206ZG106ZAT2A,CAP CER 10UF 10V Y5V 1206,AVX Corporation,4000,1739,,,Astute Electronics TAX Excess/Consignment,G01B03
12079,CAPACITORS  CHIP,,2,,,,Astute Electronics Inc. ATX Excess,G02A02
