Item,,ItemDescription,Lot,Location,Lot Cost,Lot Quantity,Lot Unit Cost,Item Lot Revision,Non-Nettable Stock,,Qty WIP,Qty On Customer Orders,,Qty On Purchase Orders,Total On Hand,PO On Order 3PL,CO On Order 3PL,,Last Sales Date,Drawing Revision,Manufacturer,Name,Product Category,Warehouse,,Warehouse Name,NSN,,Expiration Date,Currency,Date Code,Price,Site,Shelf Life,Haz,,,Date Lot,,,,
100E680JMN3600XT,,(CE/) CAP 68PF CM 3600V 5% SMD,US2602180000037,QC INSPECT,,271,,,,,,,,,271,,,,,,M00327,American Technical Ceramics Corp,,W118,,Astute Electronics Inc. - LAM Consignment,,,,USD,,,USS site,,,,,46071,,,,
101247-001,,"CONT,SPR PROBE,20A,17.93MM OA LG",US2409200000015,LAMBLK.13.18,169.92,48,3.54,,,,,,,,48,,,,45898,,M06551,Smiths Interconnect,,W111,,Astute Electronics Inc. LAM 3PL,,,,USD,2427,3.54,USS site,,,,,45555,,,,
10139085-124402LF,,"CONN,SMD,PLUG,MEZZ,0.8MM,120P,7.7MM HGT",US2406140000009,LAM13.3.8,,399,,,,,,,,,399,,,,,,M07793,Amphenol ICC,,W115,,Astute Electronics Inc. LAM STL,,,,USD,2010,4.311,USS site,,,,,45457,,,,
10147605-00008LF,,"CONN, HEADER, 8POS, 1ROW, 1MM",US2412200000009,F04C01,,554,,,,,,,,,554,,,,45649,,M00335,Amphenol Corp,,MAIN,,Astute Electronics Inc.,,,,,,,USS site,,,,,45646,,,,
101S43W105KV4E,,Cap Ceramic 1uF 100V X7R 10% Pad SMD 181,US2203240000025,ATX22L,,28273,,,,,,,,,28273,,,,,,M03036,Johanson,,W106,,Astute Electronics TAX Excess/Consignment,,,,,"1922, 1916, 1937, 2015, 1937, 1845",,USS site,,,,,44644,,,,
101X15N220MV4E,,"CAP,SMD,X2Y,22PF,20%,100V,0805",US2408010000021,LAM7.7.39,,3918,,,,,,,,,3918,,,,,,M03036,Johanson,,W115,,Astute Electronics Inc. LAM STL,,,,USD,Inconclusive,0.107,USS site,,,,,45505,,,,
10236-6212PC,,"CONN,MINI-D,STR PCB MT 36 PINS,ROHS",US2407300000017,LAMBLKB.8.4,,200,,,,,,,,,200,,,,,,M11782,3M,,W115,,Astute Electronics Inc. LAM STL,,,,USD,,4.69,USS site,,,,,45503,,,,
102699-2,,Connector Header Through Hole 6 position,PX2312280000120,F01C03,,121,,,,,,,,,121,,,,,,M06779,AMP,,W103,,Astute Electronics GEA Excess/Consignment,,,,,,,USS site,,,,,45288,,,,
103310-5,,CONN HEADER R/A 20POS 2.54MM,LI2208150000028,G04B03,,279,,,,,,,,,279,,,,,,M05724,TE Connectivity Ltd,,W103,,Astute Electronics GEA Excess/Consignment,,,,,1016,,USS site,,,,,44788,,,,
103JG1G,,,US2205020000019,G07E04,,1261,,,,,,,,,2261,,,,,,M03395,Littlefuse Inc,,W106,,Astute Electronics TAX Excess/Consignment,,,,,1923,,USS site,,,,,44683,,,,
103JG1G,,,US2202230000004,G07E04,,1000,,,,,,,,,2261,,,,,,M03395,Littlefuse Inc,,W106,,Astute Electronics TAX Excess/Consignment,,,,,2002,,USS site,,,,,44615,,,,
10-40450-10,,GASKET,US2404230000008,F03C01,,200,,,,,,,,,200,,,,,,M07793,Amphenol ICC,,W104,,Astute Electronics Inc. ATX Excess,,,,USD,,1.8,USS site,,,,,45405,,,,
10-407552-055,,"Connector Accessory, Contact",PX2312280000121,F01E04,,8540,,,,,,,,,8540,,,,,,M00335,Amphenol Corp,,W103,,Astute Electronics GEA Excess/Consignment,,,,,,,USS site,,,,,45288,,,,
10-407552-15,,CONTACT PIN ELECTRICAL CONNECTOR SIZE 22,BR2507300000008,G03E03,,379,,,,,,,,,379,,,,,,M00335,Amphenol Corp,,W107,,Astute Electronics SPA Excess/Consignment,,,,,,,USS site,,,,,45868,,,,
