Chuboe_Offer_ID[Value],Chuboe_MPN,Chuboe_MFR_ID[Value],Chuboe_MFR_Text,Qty,Chuboe_Lead_Time,Chuboe_Package_Desc,C_Country_ID[Name],Chuboe_Date_Code,C_Currency_ID[ISO_Code],Description,IsActive,Chuboe_MPN_Clean,Chuboe_CPC,PriceEntered,Chuboe_MOQ,Chuboe_SPQ
,LM7812SX/NOPB,,Texas Instruments,195,,US2407250000013;LAM13.3.12,,2140,,"IC,SMD,V RGLTR,FXD OUT,35V,TO-263-3",,,,0.836,,
,LMZ14202TZ-ADJ/NOPB,,Texas Instruments,42,,28250;LAM13.4.2,,2407,,"IC,SMD,DC-DC CONV,6V-42V,2A",,,,8.766,,
,LS7184NS,,Lsi Computer Systems,75,,US2411070000025;LAMTB.11.1,,2248,,"IC,SMD,QUAD CLK CNVTR",,,,3.13,,
,LT1491ACS#PBF,,Analog Devices Inc,23,,US2408210000017;LAMTB.10.4,,2347,,"IC,SMD, QUAD MPOWER RTR I/O OP-AMP,ROHS",,,,7.579,,
,LT3741EFE#PBF,,Analog Devices Inc,34,,US2408210300001;LAMTB.10.8,,2252,,"IC,SMD,DC-DC CONT,STEP DN,6-36V,TSSOP-20",,,,11.154,,
,LTC1859CG#PBF,,Analog Devices Inc,63,,US2408210000019;LAMTB.10.6,,2414,,IC ADC 16BIT SAR 28SSOP,,,,40.249,,
,LTC4231IMS-2#PBF,,Analog Devices Inc,259,,US2601280000016;LAMBLK.12.1,,,,"IC,SMD,LOW V CONT,2.7-36V,4UA,MSOP-12",,,,6.45,,
,LTC4231IMS-2#PBF,,Analog Devices Inc,9,,US2408210000025;LAMBLK.12.1,,2241,,"IC,SMD,LOW V CONT,2.7-36V,4UA,MSOP-12",,,,6.204,,
,MAX5901NNETT+T,,Maxim Integrated Products Inc,77,,US2408210000023;LAMBLK.13.1,,1850,,"IC,SMD,HOT-SWAP CONTROLLER,6TDFN",,,,4.658,,
,MAX5903NNEUT+,,Maxim Integrated Products Inc,70,,US2408210000024;LAMBLK.11.14,,2237,,"IC,SMD,HOT SWAP CNTLR,POS 72V,ROHS",,,,5.115,,
,MAX5976AETE+,,Maxim Integrated Products Inc,160,,US2408210000029;LAMBLK.11.17,,2218,,"IC,SMD,HOT SWAP,+18V,7A,ROHS",,,,5.28,,
,MOX93021004FVE,,Ohmite,18,,US2602050000022;LAMBLKB.4.4,,,,"RES,METAL FILM,1M OHM",,,,26.29283,,
,OPA2991IDDFR,,Texas Instruments,210,,28255;LAMBLK.6.16,,2249,,"IC,SMD,OP-AMP,2CKT,75MA,2.7-40V,SOT-23-8",,,,0.901,,
,OPA691IDBVT,,Texas Instruments,210,,US2408070000022;LAM7.8.28,,2251,,"IC,SMD,OPAMP,CFA,1CKT,280MHZ,SOT23-6",,,,3.25,,
,PDSE1-S24-S12-M-TR,,CUI Inc,59,,US2408060000021;LAMBLK.8.16,,2236,,Isolated Module DC DC Converter 1 Output,,,,2.5,,
,PLT0805Z2502AST5,,Vishay,200,,US2501130000013;LAM7.11.22,,2438,,"RES,0805,TF,0.25W,0.05%,25K ROHS",,,,2.9,,
,PNM0402E2502BST1,,Vishay Semiconductors,4349,,US2505050000014;LAM7.11.20,,2441,,"RES,SMD,THIN FILM,25KOHM,0.1%,.05W,0402",,,,1.25,,
,PZHT0603-0R00GT,,Vishay Semiconductors,400,,US2407120000006;LAMBLK.4.1,,2411,,"RES,SMD,ZERO OHM JUMPER,0603",,,,2.35,,
,R-78C15-1.0,,Recom,89,,US2407230000097;LAMTB.3.3,,2317,,"PS,CONV,DC/DC,8-42VIN,15VOUT,1A,ROHS",,,,8.84,,
,RC0402FR-0775RL,,Yageo Corp,8766,,US2407080240002;LAM7.10.8,,2402,,"RES,0402,THKF,1/16W,1% 75.0 ROHS",,,,0.00051,,
,RCV420KP,,Texas Instruments,50,,US2509250340001;LAMTB.7.5,,2332,,"IC,RCV420,4-20mA,ROHS",,,,16.895,,
,RCV420KP,,Texas Instruments,9,,US2408060340001;LAMTB.7.5,,2332,,"IC,RCV420,4-20mA,ROHS",,,,9.842,,
